Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,AMD,Ryzen 7 4700G,254,81.3,607,https://cpu.userbenchmark.com/SpeedTest/1135003/AMD-Ryzen-7-4700G-8-Core-Processor
CPU,,Intel,Core i9-10885H,255,81.2,6135,https://cpu.userbenchmark.com/SpeedTest/1174414/IntelR-CoreTM-i9-10885H-CPU---240GHz
CPU,,Intel,Core i7-1365U,256,81.1,224,https://cpu.userbenchmark.com/SpeedTest/2082316/13th-Gen-IntelR-CoreTM-i7-1365U
CPU,YD295XA8UGAAF,AMD,Ryzen TR 2950X,257,81.1,10169,https://cpu.userbenchmark.com/SpeedTest/569025/AMD-Ryzen-Threadripper-2950X-16-Core-Processor
CPU,BX80671I76800K,Intel,Core i7-6800K,258,80.9,50196,https://cpu.userbenchmark.com/Intel-Core-i7-6800K/Rating/3607
CPU,100-1000000050,AMD,Ryzen 5 3500,259,80.9,16466,https://cpu.userbenchmark.com/AMD-Ryzen-5-3500/Rating/4053
CPU,BX80662I76700K,Intel,Core i7-6700K,260,80.8,588978,https://cpu.userbenchmark.com/Intel-Core-i7-6700K/Rating/3502
CPU,YD292XA8AFWOF,AMD,Ryzen TR 2920X,261,80.7,3902,https://cpu.userbenchmark.com/SpeedTest/625966/AMD-Ryzen-Threadripper-2920X-12-Core-Processor
CPU,,Intel,Core i7-5775R,262,80.5,158,https://cpu.userbenchmark.com/SpeedTest/39919/IntelR-CoreTM-i7-5775R-CPU---330GHz
CPU,,Intel,Core i7-8809G,263,80.5,3729,https://cpu.userbenchmark.com/SpeedTest/422264/IntelR-CoreTM-i7-8809G-CPU---310GHz
CPU,BX80648I75960X,Intel,Core i7-5960X,264,80.5,15468,https://cpu.userbenchmark.com/Intel-Core-i7-5960X/Rating/2580
CPU,,AMD,Ryzen 9 5980HX,265,80.4,673,https://cpu.userbenchmark.com/SpeedTest/1628488/AMD-Ryzen-9-5980HX-with-Radeon-Graphics
CPU,,Intel,Core i7-5950HQ,266,80.4,172,https://cpu.userbenchmark.com/SpeedTest/29765/IntelR-CoreTM-i7-5950HQ-CPU---290GHz
CPU,BX8070110100F,Intel,Core i3-10100F,267,80.4,39812,https://cpu.userbenchmark.com/Intel-Core-i3-10100F/Rating/4082
CPU,,Intel,Core i5-10500H,268,80.3,12921,https://cpu.userbenchmark.com/SpeedTest/1449890/IntelR-CoreTM-i5-10500H-CPU---250GHz
CPU,,AMD,Ryzen 5 PRO 4650G,269,80.2,6798,https://cpu.userbenchmark.com/SpeedTest/1232634/AMD-Ryzen-5-PRO-4650G-with-Radeon-Graphics
CPU,BX80673I77820X,Intel,Core i7-7820X,270,80.1,28524,https://cpu.userbenchmark.com/Intel-Core-i7-7820X/Rating/3928
CPU,BX80673I97980X,Intel,Core i9-7980XE,271,80.1,4653,https://cpu.userbenchmark.com/SpeedTest/352013/IntelR-CoreTM-i9-7980XE-CPU---260GHz
CPU,,Intel,Core i5-11400H,272,80.1,35470,https://cpu.userbenchmark.com/SpeedTest/1575224/11th-Gen-IntelR-CoreTM-i5-11400H---270GHz
CPU,BX80684I39100F,Intel,Core i3-9100F,273,80.1,34310,https://cpu.userbenchmark.com/Intel-Core-i3-9100F/Rating/4054
CPU,,AMD,Ryzen 7 4800U,274,80.1,2275,https://cpu.userbenchmark.com/SpeedTest/1005639/AMD-Ryzen-7-4800U-with-Radeon-Graphics
CPU,BX80684I38300,Intel,Core i3-8300,275,79.9,2273,https://cpu.userbenchmark.com/SpeedTest/484077/IntelR-CoreTM-i3-8300-CPU---370GHz
CPU,BX8070110100,Intel,Core i3-10100,276,79.9,24563,https://cpu.userbenchmark.com/Intel-Core-i3-10100/Rating/4075
CPU,BX80648I75930K,Intel,Core i7-5930K,277,79.8,34039,https://cpu.userbenchmark.com/Intel-Core-i7-5930K/Rating/2578
CPU,,AMD,Ryzen 9 6900HX,278,79.8,2259,https://cpu.userbenchmark.com/SpeedTest/1792755/AMD-Ryzen-9-6900HX-with-Radeon-Graphics
CPU,100-100000159BOX,AMD,Ryzen 3 3300X,279,79.7,15293,https://cpu.userbenchmark.com/AMD-Ryzen-3-3300X/Rating/4076
CPU,BX80684I39100,Intel,Core i3-9100,280,79.7,7621,https://cpu.userbenchmark.com/SpeedTest/806339/IntelR-CoreTM-i3-9100-CPU---360GHz
CPU,,Intel,Core i7-10850H,281,79.5,6246,https://cpu.userbenchmark.com/SpeedTest/1160496/IntelR-CoreTM-i7-10850H-CPU---270GHz
CPU,,Intel,Xeon E3-1230 v6,282,79.4,474,https://cpu.userbenchmark.com/SpeedTest/268848/IntelR-XeonR-CPU-E3-1230-v6---350GHz
CPU,CM8068403358413,Intel,Core i7-8700T,283,79.4,5592,https://cpu.userbenchmark.com/SpeedTest/480804/IntelR-CoreTM-i7-8700T-CPU---240GHz
CPU,,Intel,Core i5-10400H,284,79.2,625,https://cpu.userbenchmark.com/SpeedTest/1084904/IntelR-CoreTM-i5-10400H-CPU---260GHz
CPU,,Intel,Core i7-10870H,285,79.1,23498,https://cpu.userbenchmark.com/SpeedTest/1322918/IntelR-CoreTM-i7-10870H-CPU---220GHz
CPU,YD297XAZAFWOF,AMD,Ryzen TR 2970WX,286,79,1966,https://cpu.userbenchmark.com/SpeedTest/626249/AMD-Ryzen-Threadripper-2970WX-24-Core-Processor
